1 epoch, LR 0.001000, LOSS 9.495415, ACC 3.26%, EER 5.80%, bestEER 5.80%
2 epoch, LR 0.000970, LOSS 6.044488, ACC 13.57%, EER 3.90%, bestEER 3.90%
3 epoch, LR 0.000941, LOSS 5.107817, ACC 20.77%, EER 3.14%, bestEER 3.14%
4 epoch, LR 0.000913, LOSS 4.596621, ACC 25.89%, EER 2.74%, bestEER 2.74%
5 epoch, LR 0.000885, LOSS 4.266060, ACC 29.59%, EER 2.60%, bestEER 2.60%
6 epoch, LR 0.000859, LOSS 4.028114, ACC 32.41%, EER 2.51%, bestEER 2.51%
7 epoch, LR 0.000833, LOSS 3.846908, ACC 34.78%, EER 2.33%, bestEER 2.33%
8 epoch, LR 0.000808, LOSS 3.700777, ACC 36.69%, EER 2.34%, bestEER 2.33%
9 epoch, LR 0.000784, LOSS 3.584838, ACC 38.26%, EER 2.09%, bestEER 2.09%
10 epoch, LR 0.000760, LOSS 3.491922, ACC 39.60%, EER 2.11%, bestEER 2.09%
11 epoch, LR 0.000737, LOSS 3.397491, ACC 40.88%, EER 2.07%, bestEER 2.07%
12 epoch, LR 0.000715, LOSS 3.322766, ACC 41.98%, EER 1.98%, bestEER 1.98%
13 epoch, LR 0.000694, LOSS 3.253144, ACC 42.95%, EER 1.83%, bestEER 1.83%
14 epoch, LR 0.000673, LOSS 3.187941, ACC 43.93%, EER 1.89%, bestEER 1.83%
15 epoch, LR 0.000653, LOSS 3.133323, ACC 44.73%, EER 1.84%, bestEER 1.83%
16 epoch, LR 0.000633, LOSS 3.076372, ACC 45.60%, EER 1.68%, bestEER 1.68%
17 epoch, LR 0.000614, LOSS 3.025200, ACC 46.35%, EER 1.74%, bestEER 1.68%
18 epoch, LR 0.000596, LOSS 2.977597, ACC 47.10%, EER 1.74%, bestEER 1.68%
19 epoch, LR 0.000578, LOSS 2.934046, ACC 47.77%, EER 1.72%, bestEER 1.68%
20 epoch, LR 0.000561, LOSS 2.893626, ACC 48.44%, EER 1.69%, bestEER 1.68%
21 epoch, LR 0.000544, LOSS 2.851942, ACC 49.06%, EER 1.65%, bestEER 1.65%
22 epoch, LR 0.000527, LOSS 2.813557, ACC 49.61%, EER 1.65%, bestEER 1.65%
23 epoch, LR 0.000512, LOSS 2.780606, ACC 50.15%, EER 1.59%, bestEER 1.59%
24 epoch, LR 0.000496, LOSS 2.745939, ACC 50.71%, EER 1.63%, bestEER 1.59%
25 epoch, LR 0.000481, LOSS 2.712671, ACC 51.26%, EER 1.59%, bestEER 1.59%
26 epoch, LR 0.000467, LOSS 2.679262, ACC 51.74%, EER 1.55%, bestEER 1.55%
27 epoch, LR 0.000453, LOSS 2.648154, ACC 52.24%, EER 1.62%, bestEER 1.55%
28 epoch, LR 0.000439, LOSS 2.621509, ACC 52.66%, EER 1.56%, bestEER 1.55%
29 epoch, LR 0.000426, LOSS 2.587148, ACC 53.24%, EER 1.46%, bestEER 1.46%
30 epoch, LR 0.000413, LOSS 2.560936, ACC 53.68%, EER 1.56%, bestEER 1.46%
31 epoch, LR 0.000401, LOSS 2.535171, ACC 54.13%, EER 1.57%, bestEER 1.46%
32 epoch, LR 0.000389, LOSS 2.504095, ACC 54.58%, EER 1.42%, bestEER 1.42%
33 epoch, LR 0.000377, LOSS 2.480828, ACC 54.98%, EER 1.49%, bestEER 1.42%
34 epoch, LR 0.000366, LOSS 2.457615, ACC 55.36%, EER 1.50%, bestEER 1.42%
35 epoch, LR 0.000355, LOSS 2.435660, ACC 55.75%, EER 1.36%, bestEER 1.36%
36 epoch, LR 0.000344, LOSS 2.408437, ACC 56.15%, EER 1.36%, bestEER 1.36%
37 epoch, LR 0.000334, LOSS 2.384128, ACC 56.59%, EER 1.47%, bestEER 1.36%
38 epoch, LR 0.000324, LOSS 2.363027, ACC 56.92%, EER 1.48%, bestEER 1.36%
39 epoch, LR 0.000314, LOSS 2.341427, ACC 57.31%, EER 1.39%, bestEER 1.36%
40 epoch, LR 0.000305, LOSS 2.316539, ACC 57.72%, EER 1.36%, bestEER 1.36%
41 epoch, LR 0.000296, LOSS 2.300334, ACC 57.97%, EER 1.39%, bestEER 1.36%
42 epoch, LR 0.000287, LOSS 2.277722, ACC 58.36%, EER 1.42%, bestEER 1.36%
43 epoch, LR 0.000278, LOSS 2.260359, ACC 58.63%, EER 1.44%, bestEER 1.36%
44 epoch, LR 0.000270, LOSS 2.240279, ACC 58.97%, EER 1.34%, bestEER 1.34%
45 epoch, LR 0.000262, LOSS 2.222675, ACC 59.24%, EER 1.29%, bestEER 1.29%
46 epoch, LR 0.000254, LOSS 2.200440, ACC 59.69%, EER 1.30%, bestEER 1.29%
47 epoch, LR 0.000246, LOSS 2.182865, ACC 59.94%, EER 1.28%, bestEER 1.28%
48 epoch, LR 0.000239, LOSS 2.166480, ACC 60.22%, EER 1.40%, bestEER 1.28%
49 epoch, LR 0.000232, LOSS 2.145122, ACC 60.59%, EER 1.35%, bestEER 1.28%
50 epoch, LR 0.000225, LOSS 2.127821, ACC 60.90%, EER 1.30%, bestEER 1.28%
51 epoch, LR 0.000218, LOSS 2.115004, ACC 61.10%, EER 1.32%, bestEER 1.28%
52 epoch, LR 0.000212, LOSS 2.097230, ACC 61.47%, EER 1.37%, bestEER 1.28%
53 epoch, LR 0.000205, LOSS 2.078422, ACC 61.76%, EER 1.36%, bestEER 1.28%
54 epoch, LR 0.000199, LOSS 2.064357, ACC 61.94%, EER 1.34%, bestEER 1.28%
55 epoch, LR 0.000193, LOSS 2.051190, ACC 62.24%, EER 1.33%, bestEER 1.28%
56 epoch, LR 0.000187, LOSS 2.036238, ACC 62.42%, EER 1.22%, bestEER 1.22%
57 epoch, LR 0.000182, LOSS 2.019364, ACC 62.76%, EER 1.28%, bestEER 1.22%
58 epoch, LR 0.000176, LOSS 2.005402, ACC 62.99%, EER 1.32%, bestEER 1.22%
59 epoch, LR 0.000171, LOSS 1.992985, ACC 63.18%, EER 1.21%, bestEER 1.21%
60 epoch, LR 0.000166, LOSS 1.976745, ACC 63.48%, EER 1.24%, bestEER 1.21%
61 epoch, LR 0.000161, LOSS 1.963757, ACC 63.71%, EER 1.22%, bestEER 1.21%
62 epoch, LR 0.000156, LOSS 1.949001, ACC 63.95%, EER 1.21%, bestEER 1.21%
63 epoch, LR 0.000151, LOSS 1.937875, ACC 64.19%, EER 1.25%, bestEER 1.21%
64 epoch, LR 0.000147, LOSS 1.925813, ACC 64.40%, EER 1.21%, bestEER 1.21%
65 epoch, LR 0.000142, LOSS 1.911449, ACC 64.60%, EER 1.22%, bestEER 1.21%
66 epoch, LR 0.000138, LOSS 1.898286, ACC 64.87%, EER 1.22%, bestEER 1.21%
67 epoch, LR 0.000134, LOSS 1.887591, ACC 65.02%, EER 1.20%, bestEER 1.20%
68 epoch, LR 0.000130, LOSS 1.876349, ACC 65.23%, EER 1.14%, bestEER 1.14%
69 epoch, LR 0.000126, LOSS 1.860241, ACC 65.48%, EER 1.16%, bestEER 1.14%
70 epoch, LR 0.000122, LOSS 1.850359, ACC 65.69%, EER 1.25%, bestEER 1.14%
71 epoch, LR 0.000119, LOSS 1.840508, ACC 65.84%, EER 1.21%, bestEER 1.14%
