1 epoch, LR 0.001000, LOSS 9.434756, ACC 3.45%, EER 5.85%, bestEER 5.85%
2 epoch, LR 0.000970, LOSS 6.130403, ACC 13.37%, EER 4.18%, bestEER 4.18%
3 epoch, LR 0.000941, LOSS 5.183144, ACC 20.56%, EER 3.51%, bestEER 3.51%
4 epoch, LR 0.000913, LOSS 4.652104, ACC 25.83%, EER 3.00%, bestEER 3.00%
5 epoch, LR 0.000885, LOSS 4.305249, ACC 29.71%, EER 2.71%, bestEER 2.71%
6 epoch, LR 0.000859, LOSS 4.053394, ACC 32.79%, EER 2.58%, bestEER 2.58%
7 epoch, LR 0.000833, LOSS 3.860630, ACC 35.34%, EER 2.42%, bestEER 2.42%
8 epoch, LR 0.000808, LOSS 3.705990, ACC 37.47%, EER 2.29%, bestEER 2.29%
9 epoch, LR 0.000784, LOSS 3.581603, ACC 39.18%, EER 2.17%, bestEER 2.17%
10 epoch, LR 0.000760, LOSS 3.472682, ACC 40.76%, EER 2.03%, bestEER 2.03%
11 epoch, LR 0.000737, LOSS 3.381414, ACC 42.10%, EER 1.99%, bestEER 1.99%
12 epoch, LR 0.000715, LOSS 3.302240, ACC 43.33%, EER 1.98%, bestEER 1.98%
13 epoch, LR 0.000694, LOSS 3.234009, ACC 44.31%, EER 2.00%, bestEER 1.98%
14 epoch, LR 0.000673, LOSS 3.167211, ACC 45.36%, EER 1.86%, bestEER 1.86%
15 epoch, LR 0.000653, LOSS 3.106609, ACC 46.29%, EER 1.96%, bestEER 1.86%
16 epoch, LR 0.000633, LOSS 3.052029, ACC 47.17%, EER 1.78%, bestEER 1.78%
17 epoch, LR 0.000614, LOSS 3.001347, ACC 47.88%, EER 1.82%, bestEER 1.78%
18 epoch, LR 0.000596, LOSS 2.952008, ACC 48.66%, EER 1.70%, bestEER 1.70%
19 epoch, LR 0.000578, LOSS 2.900477, ACC 49.64%, EER 1.71%, bestEER 1.70%
20 epoch, LR 0.000561, LOSS 2.857230, ACC 50.39%, EER 1.72%, bestEER 1.70%
21 epoch, LR 0.000544, LOSS 2.815757, ACC 51.08%, EER 1.68%, bestEER 1.68%
22 epoch, LR 0.000527, LOSS 2.764432, ACC 52.12%, EER 1.66%, bestEER 1.66%
23 epoch, LR 0.000512, LOSS 2.708301, ACC 53.19%, EER 1.59%, bestEER 1.59%
24 epoch, LR 0.000496, LOSS 2.655872, ACC 54.14%, EER 1.61%, bestEER 1.59%
25 epoch, LR 0.000481, LOSS 2.610144, ACC 54.92%, EER 1.60%, bestEER 1.59%
26 epoch, LR 0.000467, LOSS 2.570274, ACC 55.70%, EER 1.66%, bestEER 1.59%
27 epoch, LR 0.000453, LOSS 2.550070, ACC 56.09%, EER 1.44%, bestEER 1.44%
28 epoch, LR 0.000439, LOSS 2.516300, ACC 56.57%, EER 1.54%, bestEER 1.44%
29 epoch, LR 0.000426, LOSS 2.481516, ACC 57.22%, EER 1.48%, bestEER 1.44%
30 epoch, LR 0.000413, LOSS 2.457729, ACC 57.62%, EER 1.56%, bestEER 1.44%
31 epoch, LR 0.000401, LOSS 2.428748, ACC 58.05%, EER 1.49%, bestEER 1.44%
32 epoch, LR 0.000389, LOSS 2.401664, ACC 58.36%, EER 1.54%, bestEER 1.44%
33 epoch, LR 0.000377, LOSS 2.380205, ACC 58.75%, EER 1.47%, bestEER 1.44%
34 epoch, LR 0.000366, LOSS 2.351641, ACC 59.25%, EER 1.57%, bestEER 1.44%
35 epoch, LR 0.000355, LOSS 2.336573, ACC 59.39%, EER 1.41%, bestEER 1.41%
36 epoch, LR 0.000344, LOSS 2.308104, ACC 59.96%, EER 1.45%, bestEER 1.41%
37 epoch, LR 0.000334, LOSS 2.286393, ACC 60.31%, EER 1.40%, bestEER 1.40%
38 epoch, LR 0.000324, LOSS 2.268605, ACC 60.66%, EER 1.32%, bestEER 1.32%
39 epoch, LR 0.000314, LOSS 2.251209, ACC 60.73%, EER 1.47%, bestEER 1.32%
40 epoch, LR 0.000305, LOSS 2.225597, ACC 61.14%, EER 1.31%, bestEER 1.31%
41 epoch, LR 0.000296, LOSS 2.213008, ACC 61.36%, EER 1.43%, bestEER 1.31%
42 epoch, LR 0.000287, LOSS 2.183504, ACC 61.94%, EER 1.24%, bestEER 1.24%
43 epoch, LR 0.000278, LOSS 2.165122, ACC 62.25%, EER 1.30%, bestEER 1.24%
44 epoch, LR 0.000270, LOSS 2.147154, ACC 62.50%, EER 1.35%, bestEER 1.24%
45 epoch, LR 0.000262, LOSS 2.126362, ACC 62.85%, EER 1.32%, bestEER 1.24%
46 epoch, LR 0.000254, LOSS 2.108349, ACC 63.19%, EER 1.32%, bestEER 1.24%
47 epoch, LR 0.000246, LOSS 2.096663, ACC 63.35%, EER 1.36%, bestEER 1.24%
48 epoch, LR 0.000239, LOSS 2.073522, ACC 63.74%, EER 1.27%, bestEER 1.24%
49 epoch, LR 0.000232, LOSS 2.048613, ACC 64.16%, EER 1.36%, bestEER 1.24%
50 epoch, LR 0.000225, LOSS 2.038025, ACC 64.33%, EER 1.28%, bestEER 1.24%
51 epoch, LR 0.000218, LOSS 2.017545, ACC 64.66%, EER 1.35%, bestEER 1.24%
52 epoch, LR 0.000212, LOSS 1.999314, ACC 64.89%, EER 1.31%, bestEER 1.24%
53 epoch, LR 0.000205, LOSS 1.989388, ACC 65.11%, EER 1.33%, bestEER 1.24%
54 epoch, LR 0.000199, LOSS 1.971677, ACC 65.46%, EER 1.32%, bestEER 1.24%
55 epoch, LR 0.000193, LOSS 1.953577, ACC 65.83%, EER 1.25%, bestEER 1.24%
56 epoch, LR 0.000187, LOSS 1.933088, ACC 66.17%, EER 1.25%, bestEER 1.24%
57 epoch, LR 0.000182, LOSS 1.920530, ACC 66.37%, EER 1.22%, bestEER 1.22%
58 epoch, LR 0.000176, LOSS 1.903566, ACC 66.71%, EER 1.22%, bestEER 1.22%
59 epoch, LR 0.000171, LOSS 1.892282, ACC 66.83%, EER 1.19%, bestEER 1.19%
60 epoch, LR 0.000166, LOSS 1.879586, ACC 67.06%, EER 1.18%, bestEER 1.18%
61 epoch, LR 0.000161, LOSS 1.868078, ACC 67.31%, EER 1.17%, bestEER 1.17%
62 epoch, LR 0.000156, LOSS 1.854335, ACC 67.53%, EER 1.27%, bestEER 1.17%
63 epoch, LR 0.000151, LOSS 1.840462, ACC 67.71%, EER 1.23%, bestEER 1.17%
64 epoch, LR 0.000147, LOSS 1.833005, ACC 67.79%, EER 1.28%, bestEER 1.17%
65 epoch, LR 0.000142, LOSS 1.820091, ACC 68.00%, EER 1.27%, bestEER 1.17%
66 epoch, LR 0.000138, LOSS 1.810471, ACC 68.10%, EER 1.10%, bestEER 1.10%
67 epoch, LR 0.000134, LOSS 1.798871, ACC 68.34%, EER 1.21%, bestEER 1.10%
68 epoch, LR 0.000130, LOSS 1.781322, ACC 68.71%, EER 1.22%, bestEER 1.10%
69 epoch, LR 0.000126, LOSS 1.772301, ACC 68.83%, EER 1.13%, bestEER 1.10%
70 epoch, LR 0.000122, LOSS 1.764817, ACC 68.86%, EER 1.23%, bestEER 1.10%
71 epoch, LR 0.000119, LOSS 1.755034, ACC 69.05%, EER 1.20%, bestEER 1.10%
72 epoch, LR 0.000115, LOSS 1.744088, ACC 69.17%, EER 1.20%, bestEER 1.10%
73 epoch, LR 0.000112, LOSS 1.730223, ACC 69.38%, EER 1.13%, bestEER 1.10%
74 epoch, LR 0.000108, LOSS 1.727048, ACC 69.42%, EER 1.21%, bestEER 1.10%
75 epoch, LR 0.000105, LOSS 1.713703, ACC 69.57%, EER 1.12%, bestEER 1.10%
76 epoch, LR 0.000102, LOSS 1.708274, ACC 69.64%, EER 1.25%, bestEER 1.10%
77 epoch, LR 0.000099, LOSS 1.702887, ACC 69.62%, EER 1.16%, bestEER 1.10%
78 epoch, LR 0.000096, LOSS 1.695919, ACC 69.76%, EER 1.15%, bestEER 1.10%
79 epoch, LR 0.000093, LOSS 1.690492, ACC 69.79%, EER 1.24%, bestEER 1.10%
80 epoch, LR 0.000090, LOSS 1.777229, ACC 66.74%, EER 1.07%, bestEER 1.07%
