1 epoch, LR 0.001000, LOSS 9.457638, ACC 3.61%, EER 6.32%, bestEER 6.32%
2 epoch, LR 0.000970, LOSS 5.836999, ACC 15.61%, EER 3.89%, bestEER 3.89%
3 epoch, LR 0.000941, LOSS 4.854370, ACC 23.96%, EER 3.19%, bestEER 3.19%
4 epoch, LR 0.000913, LOSS 4.308240, ACC 29.88%, EER 2.68%, bestEER 2.68%
5 epoch, LR 0.000885, LOSS 3.934277, ACC 34.46%, EER 2.54%, bestEER 2.54%
6 epoch, LR 0.000859, LOSS 3.663997, ACC 38.08%, EER 2.43%, bestEER 2.43%
7 epoch, LR 0.000833, LOSS 3.461370, ACC 40.94%, EER 2.31%, bestEER 2.31%
8 epoch, LR 0.000808, LOSS 3.287188, ACC 43.46%, EER 2.02%, bestEER 2.02%
9 epoch, LR 0.000784, LOSS 3.142894, ACC 45.57%, EER 2.04%, bestEER 2.02%
10 epoch, LR 0.000760, LOSS 3.020611, ACC 47.53%, EER 1.92%, bestEER 1.92%
11 epoch, LR 0.000737, LOSS 2.915999, ACC 49.19%, EER 1.96%, bestEER 1.92%
12 epoch, LR 0.000715, LOSS 2.822379, ACC 50.68%, EER 1.87%, bestEER 1.87%
13 epoch, LR 0.000694, LOSS 2.739533, ACC 51.98%, EER 1.64%, bestEER 1.64%
14 epoch, LR 0.000673, LOSS 2.668889, ACC 53.08%, EER 1.57%, bestEER 1.57%
15 epoch, LR 0.000653, LOSS 2.606771, ACC 54.04%, EER 1.63%, bestEER 1.57%
16 epoch, LR 0.000633, LOSS 2.541822, ACC 55.12%, EER 1.70%, bestEER 1.57%
17 epoch, LR 0.000614, LOSS 2.489961, ACC 55.97%, EER 1.62%, bestEER 1.57%
18 epoch, LR 0.000596, LOSS 2.437315, ACC 56.83%, EER 1.48%, bestEER 1.48%
19 epoch, LR 0.000578, LOSS 2.391606, ACC 57.53%, EER 1.47%, bestEER 1.47%
20 epoch, LR 0.000561, LOSS 2.348320, ACC 58.28%, EER 1.51%, bestEER 1.47%
21 epoch, LR 0.000544, LOSS 2.303894, ACC 58.99%, EER 1.53%, bestEER 1.47%
22 epoch, LR 0.000527, LOSS 2.266400, ACC 59.56%, EER 1.39%, bestEER 1.39%
23 epoch, LR 0.000512, LOSS 2.227433, ACC 60.23%, EER 1.46%, bestEER 1.39%
24 epoch, LR 0.000496, LOSS 2.190476, ACC 60.82%, EER 1.36%, bestEER 1.36%
25 epoch, LR 0.000481, LOSS 2.159417, ACC 61.36%, EER 1.44%, bestEER 1.36%
26 epoch, LR 0.000467, LOSS 2.124753, ACC 61.91%, EER 1.39%, bestEER 1.36%
27 epoch, LR 0.000453, LOSS 2.091870, ACC 62.43%, EER 1.32%, bestEER 1.32%
28 epoch, LR 0.000439, LOSS 2.063038, ACC 62.83%, EER 1.31%, bestEER 1.31%
29 epoch, LR 0.000426, LOSS 2.035018, ACC 63.33%, EER 1.38%, bestEER 1.31%
30 epoch, LR 0.000413, LOSS 2.008254, ACC 63.72%, EER 1.28%, bestEER 1.28%
31 epoch, LR 0.000401, LOSS 1.982268, ACC 64.14%, EER 1.22%, bestEER 1.22%
32 epoch, LR 0.000389, LOSS 1.954914, ACC 64.58%, EER 1.31%, bestEER 1.22%
33 epoch, LR 0.000377, LOSS 1.931441, ACC 64.98%, EER 1.28%, bestEER 1.22%
34 epoch, LR 0.000366, LOSS 1.906684, ACC 65.34%, EER 1.38%, bestEER 1.22%
35 epoch, LR 0.000355, LOSS 1.885757, ACC 65.68%, EER 1.23%, bestEER 1.22%
36 epoch, LR 0.000344, LOSS 1.866350, ACC 66.01%, EER 1.24%, bestEER 1.22%
37 epoch, LR 0.000334, LOSS 1.842123, ACC 66.39%, EER 1.28%, bestEER 1.22%
38 epoch, LR 0.000324, LOSS 1.818115, ACC 66.79%, EER 1.29%, bestEER 1.22%
39 epoch, LR 0.000314, LOSS 1.801233, ACC 66.99%, EER 1.19%, bestEER 1.19%
40 epoch, LR 0.000305, LOSS 1.781209, ACC 67.33%, EER 1.23%, bestEER 1.19%
41 epoch, LR 0.000296, LOSS 1.763071, ACC 67.63%, EER 1.24%, bestEER 1.19%
42 epoch, LR 0.000287, LOSS 1.744404, ACC 67.94%, EER 1.24%, bestEER 1.19%
43 epoch, LR 0.000278, LOSS 1.725248, ACC 68.21%, EER 1.26%, bestEER 1.19%
44 epoch, LR 0.000270, LOSS 1.709220, ACC 68.47%, EER 1.33%, bestEER 1.19%
45 epoch, LR 0.000262, LOSS 1.691184, ACC 68.82%, EER 1.28%, bestEER 1.19%
46 epoch, LR 0.000254, LOSS 1.671441, ACC 69.10%, EER 1.16%, bestEER 1.16%
