1 epoch, LR 0.001000, LOSS 9.545448, ACC 3.31%, EER 5.75%, bestEER 5.75%
2 epoch, LR 0.000970, LOSS 5.915478, ACC 14.50%, EER 4.05%, bestEER 4.05%
3 epoch, LR 0.000941, LOSS 4.946630, ACC 22.23%, EER 3.20%, bestEER 3.20%
4 epoch, LR 0.000913, LOSS 4.401904, ACC 27.92%, EER 2.78%, bestEER 2.78%
5 epoch, LR 0.000885, LOSS 4.040054, ACC 32.18%, EER 2.69%, bestEER 2.69%
6 epoch, LR 0.000859, LOSS 3.775055, ACC 35.51%, EER 2.33%, bestEER 2.33%
7 epoch, LR 0.000833, LOSS 3.575277, ACC 38.27%, EER 2.19%, bestEER 2.19%
8 epoch, LR 0.000808, LOSS 3.408789, ACC 40.57%, EER 2.07%, bestEER 2.07%
9 epoch, LR 0.000784, LOSS 3.268836, ACC 42.58%, EER 2.13%, bestEER 2.07%
10 epoch, LR 0.000760, LOSS 3.153573, ACC 44.24%, EER 1.95%, bestEER 1.95%
11 epoch, LR 0.000737, LOSS 3.054435, ACC 45.85%, EER 1.82%, bestEER 1.82%
12 epoch, LR 0.000715, LOSS 2.965525, ACC 47.20%, EER 1.89%, bestEER 1.82%
13 epoch, LR 0.000694, LOSS 2.888689, ACC 48.34%, EER 1.85%, bestEER 1.82%
14 epoch, LR 0.000673, LOSS 2.817820, ACC 49.46%, EER 1.70%, bestEER 1.70%
15 epoch, LR 0.000653, LOSS 2.756356, ACC 50.55%, EER 1.67%, bestEER 1.67%
16 epoch, LR 0.000633, LOSS 2.699138, ACC 51.37%, EER 1.73%, bestEER 1.67%
17 epoch, LR 0.000614, LOSS 2.646002, ACC 52.29%, EER 1.58%, bestEER 1.58%
18 epoch, LR 0.000596, LOSS 2.591665, ACC 53.13%, EER 1.60%, bestEER 1.58%
19 epoch, LR 0.000578, LOSS 2.542177, ACC 53.92%, EER 1.55%, bestEER 1.55%
20 epoch, LR 0.000561, LOSS 2.503522, ACC 54.62%, EER 1.51%, bestEER 1.51%
21 epoch, LR 0.000544, LOSS 2.456934, ACC 55.31%, EER 1.53%, bestEER 1.51%
22 epoch, LR 0.000527, LOSS 2.415763, ACC 56.05%, EER 1.48%, bestEER 1.48%
23 epoch, LR 0.000512, LOSS 2.379061, ACC 56.64%, EER 1.37%, bestEER 1.37%
24 epoch, LR 0.000496, LOSS 2.345543, ACC 57.29%, EER 1.46%, bestEER 1.37%
25 epoch, LR 0.000481, LOSS 2.311400, ACC 57.85%, EER 1.28%, bestEER 1.28%
26 epoch, LR 0.000467, LOSS 2.277190, ACC 58.40%, EER 1.40%, bestEER 1.28%
27 epoch, LR 0.000453, LOSS 2.244964, ACC 58.95%, EER 1.30%, bestEER 1.28%
28 epoch, LR 0.000439, LOSS 2.213714, ACC 59.48%, EER 1.28%, bestEER 1.28%
29 epoch, LR 0.000426, LOSS 2.186113, ACC 59.97%, EER 1.27%, bestEER 1.27%
30 epoch, LR 0.000413, LOSS 2.155846, ACC 60.53%, EER 1.26%, bestEER 1.26%
31 epoch, LR 0.000401, LOSS 2.130544, ACC 60.94%, EER 1.32%, bestEER 1.26%
32 epoch, LR 0.000389, LOSS 2.105963, ACC 61.39%, EER 1.28%, bestEER 1.26%
33 epoch, LR 0.000377, LOSS 2.078671, ACC 61.80%, EER 1.26%, bestEER 1.26%
34 epoch, LR 0.000366, LOSS 2.051712, ACC 62.30%, EER 1.25%, bestEER 1.25%
35 epoch, LR 0.000355, LOSS 2.029619, ACC 62.71%, EER 1.25%, bestEER 1.25%
36 epoch, LR 0.000344, LOSS 2.004603, ACC 63.13%, EER 1.16%, bestEER 1.16%
37 epoch, LR 0.000334, LOSS 1.984372, ACC 63.47%, EER 1.19%, bestEER 1.16%
38 epoch, LR 0.000324, LOSS 1.960585, ACC 63.88%, EER 1.22%, bestEER 1.16%
39 epoch, LR 0.000314, LOSS 1.939487, ACC 64.24%, EER 1.26%, bestEER 1.16%
40 epoch, LR 0.000305, LOSS 1.918310, ACC 64.69%, EER 1.21%, bestEER 1.16%
41 epoch, LR 0.000296, LOSS 1.896400, ACC 64.96%, EER 1.20%, bestEER 1.16%
42 epoch, LR 0.000287, LOSS 1.882444, ACC 65.26%, EER 1.27%, bestEER 1.16%
43 epoch, LR 0.000278, LOSS 1.859811, ACC 65.60%, EER 1.09%, bestEER 1.09%
44 epoch, LR 0.000270, LOSS 1.840556, ACC 65.93%, EER 1.18%, bestEER 1.09%
45 epoch, LR 0.000262, LOSS 1.822387, ACC 66.29%, EER 1.20%, bestEER 1.09%
46 epoch, LR 0.000254, LOSS 1.808161, ACC 66.57%, EER 1.13%, bestEER 1.09%
47 epoch, LR 0.000246, LOSS 1.787665, ACC 66.91%, EER 1.06%, bestEER 1.06%
48 epoch, LR 0.000239, LOSS 1.773059, ACC 67.18%, EER 1.14%, bestEER 1.06%
49 epoch, LR 0.000232, LOSS 1.756702, ACC 67.46%, EER 1.17%, bestEER 1.06%
50 epoch, LR 0.000225, LOSS 1.742532, ACC 67.67%, EER 1.10%, bestEER 1.06%
