1 epoch, LR 0.001000, LOSS 9.485994, ACC 3.42%, EER 5.92%, bestEER 5.92%
2 epoch, LR 0.000970, LOSS 5.927626, ACC 14.44%, EER 4.02%, bestEER 4.02%
3 epoch, LR 0.000941, LOSS 4.982013, ACC 21.98%, EER 3.57%, bestEER 3.57%
4 epoch, LR 0.000913, LOSS 4.435396, ACC 27.59%, EER 2.70%, bestEER 2.70%
5 epoch, LR 0.000885, LOSS 4.068593, ACC 31.96%, EER 2.70%, bestEER 2.70%
6 epoch, LR 0.000859, LOSS 3.795760, ACC 35.39%, EER 2.34%, bestEER 2.34%
7 epoch, LR 0.000833, LOSS 3.576235, ACC 38.36%, EER 2.12%, bestEER 2.12%
8 epoch, LR 0.000808, LOSS 3.405258, ACC 40.76%, EER 2.07%, bestEER 2.07%
9 epoch, LR 0.000784, LOSS 3.263088, ACC 42.78%, EER 2.11%, bestEER 2.07%
10 epoch, LR 0.000760, LOSS 3.144810, ACC 44.61%, EER 1.95%, bestEER 1.95%
11 epoch, LR 0.000737, LOSS 3.042526, ACC 46.11%, EER 2.11%, bestEER 1.95%
12 epoch, LR 0.000715, LOSS 2.954988, ACC 47.51%, EER 1.89%, bestEER 1.89%
13 epoch, LR 0.000694, LOSS 2.875257, ACC 48.76%, EER 2.01%, bestEER 1.89%
14 epoch, LR 0.000673, LOSS 2.798216, ACC 49.98%, EER 1.80%, bestEER 1.80%
15 epoch, LR 0.000653, LOSS 2.735223, ACC 50.97%, EER 1.70%, bestEER 1.70%
16 epoch, LR 0.000633, LOSS 2.677340, ACC 51.95%, EER 1.74%, bestEER 1.70%
17 epoch, LR 0.000614, LOSS 2.621082, ACC 52.79%, EER 1.64%, bestEER 1.64%
18 epoch, LR 0.000596, LOSS 2.572406, ACC 53.72%, EER 1.60%, bestEER 1.60%
19 epoch, LR 0.000578, LOSS 2.526825, ACC 54.45%, EER 1.50%, bestEER 1.50%
20 epoch, LR 0.000561, LOSS 2.478728, ACC 55.20%, EER 1.57%, bestEER 1.50%
21 epoch, LR 0.000544, LOSS 2.436655, ACC 55.90%, EER 1.69%, bestEER 1.50%
22 epoch, LR 0.000527, LOSS 2.394960, ACC 56.61%, EER 1.58%, bestEER 1.50%
23 epoch, LR 0.000512, LOSS 2.359601, ACC 57.24%, EER 1.53%, bestEER 1.50%
24 epoch, LR 0.000496, LOSS 2.324131, ACC 57.83%, EER 1.54%, bestEER 1.50%
25 epoch, LR 0.000481, LOSS 2.284565, ACC 58.53%, EER 1.55%, bestEER 1.50%
26 epoch, LR 0.000467, LOSS 2.254549, ACC 59.05%, EER 1.44%, bestEER 1.44%
27 epoch, LR 0.000453, LOSS 2.220406, ACC 59.67%, EER 1.32%, bestEER 1.32%
28 epoch, LR 0.000439, LOSS 2.188644, ACC 60.14%, EER 1.49%, bestEER 1.32%
29 epoch, LR 0.000426, LOSS 2.159091, ACC 60.72%, EER 1.41%, bestEER 1.32%
30 epoch, LR 0.000413, LOSS 2.130752, ACC 61.14%, EER 1.35%, bestEER 1.32%
31 epoch, LR 0.000401, LOSS 2.103696, ACC 61.62%, EER 1.36%, bestEER 1.32%
32 epoch, LR 0.000389, LOSS 2.077314, ACC 62.10%, EER 1.37%, bestEER 1.32%
33 epoch, LR 0.000377, LOSS 2.053811, ACC 62.48%, EER 1.36%, bestEER 1.32%
34 epoch, LR 0.000366, LOSS 2.029404, ACC 62.90%, EER 1.33%, bestEER 1.32%
35 epoch, LR 0.000355, LOSS 2.003881, ACC 63.38%, EER 1.45%, bestEER 1.32%
36 epoch, LR 0.000344, LOSS 1.979065, ACC 63.84%, EER 1.31%, bestEER 1.31%
37 epoch, LR 0.000334, LOSS 1.955524, ACC 64.18%, EER 1.33%, bestEER 1.31%
38 epoch, LR 0.000324, LOSS 1.930752, ACC 64.60%, EER 1.20%, bestEER 1.20%
39 epoch, LR 0.000314, LOSS 1.909496, ACC 64.98%, EER 1.21%, bestEER 1.20%
40 epoch, LR 0.000305, LOSS 1.887067, ACC 65.41%, EER 1.29%, bestEER 1.20%
41 epoch, LR 0.000296, LOSS 1.868658, ACC 65.73%, EER 1.24%, bestEER 1.20%
42 epoch, LR 0.000287, LOSS 1.847885, ACC 66.18%, EER 1.33%, bestEER 1.20%
43 epoch, LR 0.000278, LOSS 1.821011, ACC 66.73%, EER 1.27%, bestEER 1.20%
44 epoch, LR 0.000270, LOSS 1.791316, ACC 67.41%, EER 1.16%, bestEER 1.16%
45 epoch, LR 0.000262, LOSS 1.761510, ACC 68.19%, EER 1.30%, bestEER 1.16%
46 epoch, LR 0.000254, LOSS 1.737152, ACC 68.70%, EER 1.21%, bestEER 1.16%
47 epoch, LR 0.000246, LOSS 1.718926, ACC 69.09%, EER 1.18%, bestEER 1.16%
48 epoch, LR 0.000239, LOSS 1.691856, ACC 69.70%, EER 1.21%, bestEER 1.16%
49 epoch, LR 0.000232, LOSS 1.666763, ACC 70.26%, EER 1.26%, bestEER 1.16%
50 epoch, LR 0.000225, LOSS 1.649927, ACC 70.65%, EER 1.22%, bestEER 1.16%
51 epoch, LR 0.000218, LOSS 1.636137, ACC 70.88%, EER 1.21%, bestEER 1.16%
52 epoch, LR 0.000212, LOSS 1.614688, ACC 71.33%, EER 1.19%, bestEER 1.16%
53 epoch, LR 0.000205, LOSS 1.595650, ACC 71.60%, EER 1.21%, bestEER 1.16%
54 epoch, LR 0.000199, LOSS 1.584211, ACC 71.88%, EER 1.06%, bestEER 1.06%
55 epoch, LR 0.000193, LOSS 1.565059, ACC 72.24%, EER 1.11%, bestEER 1.06%
56 epoch, LR 0.000187, LOSS 1.547127, ACC 72.61%, EER 1.18%, bestEER 1.06%
57 epoch, LR 0.000182, LOSS 1.532460, ACC 72.97%, EER 1.05%, bestEER 1.05%
58 epoch, LR 0.000176, LOSS 1.514695, ACC 73.24%, EER 1.15%, bestEER 1.05%
59 epoch, LR 0.000171, LOSS 1.499382, ACC 73.64%, EER 1.16%, bestEER 1.05%
60 epoch, LR 0.000166, LOSS 1.480778, ACC 73.97%, EER 1.07%, bestEER 1.05%
61 epoch, LR 0.000161, LOSS 1.459763, ACC 74.39%, EER 1.02%, bestEER 1.02%
62 epoch, LR 0.000156, LOSS 1.445224, ACC 74.61%, EER 1.14%, bestEER 1.02%
63 epoch, LR 0.000151, LOSS 1.417871, ACC 75.10%, EER 1.12%, bestEER 1.02%
64 epoch, LR 0.000147, LOSS 1.397720, ACC 75.34%, EER 1.11%, bestEER 1.02%
65 epoch, LR 0.000142, LOSS 1.391916, ACC 75.38%, EER 1.12%, bestEER 1.02%
66 epoch, LR 0.000138, LOSS 1.381309, ACC 75.45%, EER 1.12%, bestEER 1.02%
67 epoch, LR 0.000134, LOSS 1.373197, ACC 75.52%, EER 1.19%, bestEER 1.02%
68 epoch, LR 0.000130, LOSS 1.366652, ACC 75.71%, EER 1.16%, bestEER 1.02%
69 epoch, LR 0.000126, LOSS 1.350997, ACC 76.12%, EER 1.13%, bestEER 1.02%
70 epoch, LR 0.000122, LOSS 1.339010, ACC 76.33%, EER 1.12%, bestEER 1.02%
71 epoch, LR 0.000119, LOSS 1.327179, ACC 76.53%, EER 1.06%, bestEER 1.02%
72 epoch, LR 0.000115, LOSS 1.332582, ACC 76.33%, EER 1.10%, bestEER 1.02%
73 epoch, LR 0.000112, LOSS 1.330354, ACC 76.30%, EER 1.10%, bestEER 1.02%
