1 epoch, LR 0.001000, LOSS 9.579537, ACC 3.19%, EER 6.00%, bestEER 6.00%
2 epoch, LR 0.000970, LOSS 5.969155, ACC 14.13%, EER 4.02%, bestEER 4.02%
3 epoch, LR 0.000941, LOSS 4.982094, ACC 21.94%, EER 3.40%, bestEER 3.40%
4 epoch, LR 0.000913, LOSS 4.419647, ACC 27.72%, EER 2.77%, bestEER 2.77%
5 epoch, LR 0.000885, LOSS 4.051405, ACC 32.09%, EER 2.54%, bestEER 2.54%
6 epoch, LR 0.000859, LOSS 3.777746, ACC 35.50%, EER 2.36%, bestEER 2.36%
7 epoch, LR 0.000833, LOSS 3.565619, ACC 38.38%, EER 2.23%, bestEER 2.23%
8 epoch, LR 0.000808, LOSS 3.406767, ACC 40.61%, EER 2.11%, bestEER 2.11%
9 epoch, LR 0.000784, LOSS 3.262235, ACC 42.73%, EER 2.14%, bestEER 2.11%
10 epoch, LR 0.000760, LOSS 3.141626, ACC 44.51%, EER 2.01%, bestEER 2.01%
11 epoch, LR 0.000737, LOSS 3.041780, ACC 46.00%, EER 1.86%, bestEER 1.86%
12 epoch, LR 0.000715, LOSS 2.954519, ACC 47.42%, EER 1.73%, bestEER 1.73%
13 epoch, LR 0.000694, LOSS 2.876429, ACC 48.58%, EER 1.78%, bestEER 1.73%
14 epoch, LR 0.000673, LOSS 2.803779, ACC 49.74%, EER 1.72%, bestEER 1.72%
15 epoch, LR 0.000653, LOSS 2.742471, ACC 50.75%, EER 1.49%, bestEER 1.49%
16 epoch, LR 0.000633, LOSS 2.683283, ACC 51.64%, EER 1.64%, bestEER 1.49%
17 epoch, LR 0.000614, LOSS 2.628696, ACC 52.58%, EER 1.53%, bestEER 1.49%
18 epoch, LR 0.000596, LOSS 2.570574, ACC 53.51%, EER 1.46%, bestEER 1.46%
19 epoch, LR 0.000578, LOSS 2.526821, ACC 54.21%, EER 1.51%, bestEER 1.46%
20 epoch, LR 0.000561, LOSS 2.479448, ACC 55.05%, EER 1.55%, bestEER 1.46%
21 epoch, LR 0.000544, LOSS 2.438812, ACC 55.65%, EER 1.46%, bestEER 1.46%
22 epoch, LR 0.000527, LOSS 2.393397, ACC 56.48%, EER 1.43%, bestEER 1.43%
23 epoch, LR 0.000512, LOSS 2.356963, ACC 57.09%, EER 1.48%, bestEER 1.43%
24 epoch, LR 0.000496, LOSS 2.321285, ACC 57.69%, EER 1.40%, bestEER 1.40%
25 epoch, LR 0.000481, LOSS 2.287911, ACC 58.25%, EER 1.28%, bestEER 1.28%
26 epoch, LR 0.000467, LOSS 2.252415, ACC 58.79%, EER 1.30%, bestEER 1.28%
27 epoch, LR 0.000453, LOSS 2.221167, ACC 59.41%, EER 1.43%, bestEER 1.28%
