1 epoch, LR 0.001000, LOSS 9.490096, ACC 3.43%, EER 5.42%, bestEER 5.42%
2 epoch, LR 0.000970, LOSS 5.899644, ACC 14.66%, EER 4.08%, bestEER 4.08%
3 epoch, LR 0.000941, LOSS 4.962010, ACC 22.12%, EER 3.21%, bestEER 3.21%
4 epoch, LR 0.000913, LOSS 4.426772, ACC 27.55%, EER 2.74%, bestEER 2.74%
5 epoch, LR 0.000885, LOSS 4.071112, ACC 31.71%, EER 2.55%, bestEER 2.55%
6 epoch, LR 0.000859, LOSS 3.811051, ACC 35.04%, EER 2.41%, bestEER 2.41%
7 epoch, LR 0.000833, LOSS 3.613235, ACC 37.62%, EER 2.24%, bestEER 2.24%
8 epoch, LR 0.000808, LOSS 3.441978, ACC 40.03%, EER 2.13%, bestEER 2.13%
9 epoch, LR 0.000784, LOSS 3.305777, ACC 42.01%, EER 2.09%, bestEER 2.09%
10 epoch, LR 0.000760, LOSS 3.185308, ACC 43.68%, EER 2.02%, bestEER 2.02%
11 epoch, LR 0.000737, LOSS 3.088056, ACC 45.20%, EER 1.87%, bestEER 1.87%
12 epoch, LR 0.000715, LOSS 2.993126, ACC 46.65%, EER 2.02%, bestEER 1.87%
13 epoch, LR 0.000694, LOSS 2.916255, ACC 47.84%, EER 1.78%, bestEER 1.78%
14 epoch, LR 0.000673, LOSS 2.840668, ACC 49.02%, EER 1.68%, bestEER 1.68%
15 epoch, LR 0.000653, LOSS 2.776257, ACC 50.05%, EER 1.73%, bestEER 1.68%
16 epoch, LR 0.000633, LOSS 2.713575, ACC 51.03%, EER 1.65%, bestEER 1.65%
17 epoch, LR 0.000614, LOSS 2.660810, ACC 51.89%, EER 1.58%, bestEER 1.58%
18 epoch, LR 0.000596, LOSS 2.610495, ACC 52.68%, EER 1.49%, bestEER 1.49%
19 epoch, LR 0.000578, LOSS 2.565682, ACC 53.40%, EER 1.51%, bestEER 1.49%
20 epoch, LR 0.000561, LOSS 2.519062, ACC 54.17%, EER 1.57%, bestEER 1.49%
21 epoch, LR 0.000544, LOSS 2.478821, ACC 54.83%, EER 1.46%, bestEER 1.46%
22 epoch, LR 0.000527, LOSS 2.433873, ACC 55.62%, EER 1.48%, bestEER 1.46%
23 epoch, LR 0.000512, LOSS 2.393513, ACC 56.29%, EER 1.40%, bestEER 1.40%
24 epoch, LR 0.000496, LOSS 2.359316, ACC 56.87%, EER 1.45%, bestEER 1.40%
25 epoch, LR 0.000481, LOSS 2.325284, ACC 57.47%, EER 1.43%, bestEER 1.40%
26 epoch, LR 0.000467, LOSS 2.292943, ACC 57.98%, EER 1.40%, bestEER 1.40%
27 epoch, LR 0.000453, LOSS 2.260334, ACC 58.51%, EER 1.43%, bestEER 1.40%
28 epoch, LR 0.000439, LOSS 2.227247, ACC 59.03%, EER 1.34%, bestEER 1.34%
29 epoch, LR 0.000426, LOSS 2.199147, ACC 59.52%, EER 1.32%, bestEER 1.32%
30 epoch, LR 0.000413, LOSS 2.173391, ACC 59.98%, EER 1.31%, bestEER 1.31%
31 epoch, LR 0.000401, LOSS 2.142450, ACC 60.46%, EER 1.29%, bestEER 1.29%
32 epoch, LR 0.000389, LOSS 2.113518, ACC 60.99%, EER 1.33%, bestEER 1.29%
33 epoch, LR 0.000377, LOSS 2.092236, ACC 61.36%, EER 1.33%, bestEER 1.29%
34 epoch, LR 0.000366, LOSS 2.067887, ACC 61.77%, EER 1.39%, bestEER 1.29%
35 epoch, LR 0.000355, LOSS 2.044244, ACC 62.24%, EER 1.33%, bestEER 1.29%
36 epoch, LR 0.000344, LOSS 2.017700, ACC 62.64%, EER 1.28%, bestEER 1.28%
37 epoch, LR 0.000334, LOSS 1.995150, ACC 63.07%, EER 1.32%, bestEER 1.28%
38 epoch, LR 0.000324, LOSS 1.975858, ACC 63.40%, EER 1.31%, bestEER 1.28%
39 epoch, LR 0.000314, LOSS 1.956498, ACC 63.68%, EER 1.28%, bestEER 1.28%
40 epoch, LR 0.000305, LOSS 1.931895, ACC 64.13%, EER 1.23%, bestEER 1.23%
41 epoch, LR 0.000296, LOSS 1.905309, ACC 64.57%, EER 1.23%, bestEER 1.23%
42 epoch, LR 0.000287, LOSS 1.888818, ACC 64.84%, EER 1.36%, bestEER 1.23%
43 epoch, LR 0.000278, LOSS 1.871671, ACC 65.15%, EER 1.25%, bestEER 1.23%
44 epoch, LR 0.000270, LOSS 1.850761, ACC 65.57%, EER 1.32%, bestEER 1.23%
45 epoch, LR 0.000262, LOSS 1.832895, ACC 65.81%, EER 1.21%, bestEER 1.21%
46 epoch, LR 0.000254, LOSS 1.818425, ACC 66.09%, EER 1.21%, bestEER 1.21%
47 epoch, LR 0.000246, LOSS 1.800997, ACC 66.38%, EER 1.20%, bestEER 1.20%
48 epoch, LR 0.000239, LOSS 1.779865, ACC 66.76%, EER 1.25%, bestEER 1.20%
49 epoch, LR 0.000232, LOSS 1.759552, ACC 67.13%, EER 1.27%, bestEER 1.20%
50 epoch, LR 0.000225, LOSS 1.747987, ACC 67.34%, EER 1.26%, bestEER 1.20%
51 epoch, LR 0.000218, LOSS 1.731644, ACC 67.58%, EER 1.19%, bestEER 1.19%
52 epoch, LR 0.000212, LOSS 1.719853, ACC 67.83%, EER 1.20%, bestEER 1.19%
53 epoch, LR 0.000205, LOSS 1.702727, ACC 68.12%, EER 1.21%, bestEER 1.19%
54 epoch, LR 0.000199, LOSS 1.686678, ACC 68.43%, EER 1.30%, bestEER 1.19%
55 epoch, LR 0.000193, LOSS 1.670876, ACC 68.68%, EER 1.17%, bestEER 1.17%
56 epoch, LR 0.000187, LOSS 1.660080, ACC 68.89%, EER 1.15%, bestEER 1.15%
57 epoch, LR 0.000182, LOSS 1.646070, ACC 69.12%, EER 1.21%, bestEER 1.15%
58 epoch, LR 0.000176, LOSS 1.632539, ACC 69.39%, EER 1.15%, bestEER 1.15%
59 epoch, LR 0.000171, LOSS 1.618698, ACC 69.65%, EER 1.15%, bestEER 1.15%
60 epoch, LR 0.000166, LOSS 1.602909, ACC 69.88%, EER 1.12%, bestEER 1.12%
61 epoch, LR 0.000161, LOSS 1.591743, ACC 70.16%, EER 1.19%, bestEER 1.12%
62 epoch, LR 0.000156, LOSS 1.583366, ACC 70.25%, EER 1.11%, bestEER 1.11%
63 epoch, LR 0.000151, LOSS 1.570450, ACC 70.50%, EER 1.20%, bestEER 1.11%
