64 epoch, LR 0.000147, LOSS 1.553929, ACC 70.78%, EER 1.14%, bestEER 1.14%
65 epoch, LR 0.000142, LOSS 1.545689, ACC 70.98%, EER 1.09%, bestEER 1.09%
66 epoch, LR 0.000138, LOSS 1.534451, ACC 71.19%, EER 1.12%, bestEER 1.09%
67 epoch, LR 0.000134, LOSS 1.523286, ACC 71.36%, EER 1.13%, bestEER 1.09%
68 epoch, LR 0.000130, LOSS 1.508135, ACC 71.59%, EER 1.13%, bestEER 1.09%
69 epoch, LR 0.000126, LOSS 1.507232, ACC 71.67%, EER 1.13%, bestEER 1.09%
70 epoch, LR 0.000122, LOSS 1.489559, ACC 71.88%, EER 1.14%, bestEER 1.09%
71 epoch, LR 0.000119, LOSS 1.478813, ACC 72.15%, EER 1.04%, bestEER 1.04%
72 epoch, LR 0.000115, LOSS 1.474302, ACC 72.29%, EER 1.09%, bestEER 1.04%
73 epoch, LR 0.000112, LOSS 1.456744, ACC 72.53%, EER 1.15%, bestEER 1.04%
74 epoch, LR 0.000108, LOSS 1.450698, ACC 72.68%, EER 1.18%, bestEER 1.04%
75 epoch, LR 0.000105, LOSS 1.443021, ACC 72.80%, EER 1.09%, bestEER 1.04%
76 epoch, LR 0.000102, LOSS 1.428144, ACC 73.09%, EER 1.13%, bestEER 1.04%
77 epoch, LR 0.000099, LOSS 1.420864, ACC 73.22%, EER 1.11%, bestEER 1.04%
78 epoch, LR 0.000096, LOSS 1.417282, ACC 73.24%, EER 1.14%, bestEER 1.04%
79 epoch, LR 0.000093, LOSS 1.407273, ACC 73.46%, EER 1.06%, bestEER 1.04%
80 epoch, LR 0.000090, LOSS 1.397286, ACC 73.61%, EER 1.08%, bestEER 1.04%
