49 epoch, LR 0.000232, LOSS 1.635235, ACC 69.55%, EER 1.11%, bestEER 1.11%
50 epoch, LR 0.000225, LOSS 1.620186, ACC 69.79%, EER 1.19%, bestEER 1.11%
51 epoch, LR 0.000218, LOSS 1.607703, ACC 70.01%, EER 1.10%, bestEER 1.10%
52 epoch, LR 0.000212, LOSS 1.590794, ACC 70.27%, EER 1.16%, bestEER 1.10%
53 epoch, LR 0.000205, LOSS 1.577223, ACC 70.45%, EER 1.19%, bestEER 1.10%
54 epoch, LR 0.000199, LOSS 1.563908, ACC 70.70%, EER 1.15%, bestEER 1.10%
55 epoch, LR 0.000193, LOSS 1.551514, ACC 70.94%, EER 1.13%, bestEER 1.10%
56 epoch, LR 0.000187, LOSS 1.540179, ACC 71.10%, EER 1.14%, bestEER 1.10%
57 epoch, LR 0.000182, LOSS 1.526947, ACC 71.30%, EER 1.07%, bestEER 1.07%
58 epoch, LR 0.000176, LOSS 1.513156, ACC 71.48%, EER 1.09%, bestEER 1.07%
59 epoch, LR 0.000171, LOSS 1.499295, ACC 71.75%, EER 1.16%, bestEER 1.07%
60 epoch, LR 0.000166, LOSS 1.492084, ACC 71.87%, EER 1.08%, bestEER 1.07%
61 epoch, LR 0.000161, LOSS 1.478915, ACC 72.02%, EER 1.15%, bestEER 1.07%
62 epoch, LR 0.000156, LOSS 1.463950, ACC 72.31%, EER 1.06%, bestEER 1.06%
63 epoch, LR 0.000151, LOSS 1.453283, ACC 72.45%, EER 1.13%, bestEER 1.06%
64 epoch, LR 0.000147, LOSS 1.439516, ACC 72.75%, EER 1.12%, bestEER 1.06%
65 epoch, LR 0.000142, LOSS 1.431559, ACC 72.84%, EER 1.07%, bestEER 1.06%
66 epoch, LR 0.000138, LOSS 1.420233, ACC 73.12%, EER 1.15%, bestEER 1.06%
67 epoch, LR 0.000134, LOSS 1.406684, ACC 73.22%, EER 1.15%, bestEER 1.06%
68 epoch, LR 0.000130, LOSS 1.396803, ACC 73.48%, EER 1.05%, bestEER 1.05%
69 epoch, LR 0.000126, LOSS 1.385173, ACC 73.68%, EER 1.07%, bestEER 1.05%
70 epoch, LR 0.000122, LOSS 1.375525, ACC 73.87%, EER 1.11%, bestEER 1.05%
71 epoch, LR 0.000119, LOSS 1.362737, ACC 74.11%, EER 1.04%, bestEER 1.04%
72 epoch, LR 0.000115, LOSS 1.356365, ACC 74.21%, EER 1.11%, bestEER 1.04%
73 epoch, LR 0.000112, LOSS 1.344228, ACC 74.44%, EER 1.10%, bestEER 1.04%
74 epoch, LR 0.000108, LOSS 1.335249, ACC 74.56%, EER 1.05%, bestEER 1.04%
75 epoch, LR 0.000105, LOSS 1.320288, ACC 74.82%, EER 1.10%, bestEER 1.04%
76 epoch, LR 0.000102, LOSS 1.314795, ACC 74.97%, EER 1.08%, bestEER 1.04%
77 epoch, LR 0.000099, LOSS 1.305634, ACC 75.14%, EER 1.04%, bestEER 1.04%
78 epoch, LR 0.000096, LOSS 1.299562, ACC 75.26%, EER 1.03%, bestEER 1.03%
79 epoch, LR 0.000093, LOSS 1.288924, ACC 75.45%, EER 1.04%, bestEER 1.03%
80 epoch, LR 0.000090, LOSS 1.279871, ACC 75.61%, EER 1.09%, bestEER 1.03%
