01-08 01:21:08 Model para number = 14.73
01-08 01:21:27 [ 1] Lr: 0.001000, Training: 0.01%,  Loss: 16.62074, ACC: 0.00% 
01-08 01:21:28 [ 1] Lr: 0.001000, Training: 0.02%,  Loss: 16.82878, ACC: 0.00% 
01-08 01:21:28 [ 1] Lr: 0.001000, Training: 0.03%,  Loss: 16.70506, ACC: 0.00% 
01-08 01:21:29 [ 1] Lr: 0.001000, Training: 0.04%,  Loss: 16.56118, ACC: 0.00% 
01-08 01:21:45 [ 1] Lr: 0.001000, Training: 0.05%,  Loss: 16.43052, ACC: 0.00% 
01-08 01:21:47 [ 1] Lr: 0.001000, Training: 0.05%,  Loss: 16.29108, ACC: 0.00% 
01-08 01:21:47 [ 1] Lr: 0.001000, Training: 0.06%,  Loss: 16.17803, ACC: 0.00% 
01-08 01:21:47 [ 1] Lr: 0.001000, Training: 0.07%,  Loss: 16.12993, ACC: 0.00% 
01-08 01:22:07 [ 1] Lr: 0.001000, Training: 0.08%,  Loss: 16.09387, ACC: 0.00% 
01-08 01:22:10 [ 1] Lr: 0.001000, Training: 0.09%,  Loss: 16.07567, ACC: 0.00% 
01-08 01:22:11 [ 1] Lr: 0.001000, Training: 0.10%,  Loss: 16.03560, ACC: 0.00% 
01-08 01:22:11 [ 1] Lr: 0.001000, Training: 0.11%,  Loss: 16.01561, ACC: 0.00% 
01-08 01:22:25 [ 1] Lr: 0.001000, Training: 0.12%,  Loss: 15.99332, ACC: 0.00% 
01-08 01:22:27 [ 1] Lr: 0.001000, Training: 0.13%,  Loss: 15.97139, ACC: 0.00% 
01-08 01:22:28 [ 1] Lr: 0.001000, Training: 0.14%,  Loss: 15.96100, ACC: 0.00% 
01-08 01:22:28 [ 1] Lr: 0.001000, Training: 0.15%,  Loss: 15.95930, ACC: 0.00% 
01-08 01:22:47 [ 1] Lr: 0.001000, Training: 0.16%,  Loss: 15.92857, ACC: 0.00% 
01-08 01:22:49 [ 1] Lr: 0.001000, Training: 0.16%,  Loss: 15.91821, ACC: 0.00% 
01-08 01:22:50 [ 1] Lr: 0.001000, Training: 0.17%,  Loss: 15.91843, ACC: 0.00% 
01-08 01:22:50 [ 1] Lr: 0.001000, Training: 0.18%,  Loss: 15.90572, ACC: 0.00% 
01-08 01:23:05 [ 1] Lr: 0.001000, Training: 0.19%,  Loss: 15.90635, ACC: 0.00% 
01-08 01:23:06 [ 1] Lr: 0.001000, Training: 0.20%,  Loss: 15.91032, ACC: 0.00% 
01-08 01:23:07 [ 1] Lr: 0.001000, Training: 0.21%,  Loss: 15.91273, ACC: 0.00% 
01-08 01:23:07 [ 1] Lr: 0.001000, Training: 0.22%,  Loss: 15.91725, ACC: 0.00% 
01-08 01:23:26 [ 1] Lr: 0.001000, Training: 0.23%,  Loss: 15.91687, ACC: 0.00% 
01-08 01:23:27 [ 1] Lr: 0.001000, Training: 0.24%,  Loss: 15.92112, ACC: 0.00% 
01-08 01:23:27 [ 1] Lr: 0.001000, Training: 0.25%,  Loss: 15.92195, ACC: 0.00% 
01-08 01:23:28 [ 1] Lr: 0.001000, Training: 0.26%,  Loss: 15.91512, ACC: 0.00% 
01-08 01:23:47 [ 1] Lr: 0.001000, Training: 0.27%,  Loss: 15.91606, ACC: 0.00% 
01-08 01:23:47 [ 1] Lr: 0.001000, Training: 0.27%,  Loss: 15.90565, ACC: 0.00% 
01-08 01:23:47 [ 1] Lr: 0.001000, Training: 0.28%,  Loss: 15.92512, ACC: 0.00% 
01-08 01:23:51 [ 1] Lr: 0.001000, Training: 0.29%,  Loss: 15.93237, ACC: 0.00% 
01-08 01:24:02 [ 1] Lr: 0.001000, Training: 0.30%,  Loss: 15.92755, ACC: 0.00% 
01-08 01:24:06 [ 1] Lr: 0.001000, Training: 0.31%,  Loss: 15.93291, ACC: 0.00% 
01-08 01:24:06 [ 1] Lr: 0.001000, Training: 0.32%,  Loss: 15.93529, ACC: 0.00% 
01-08 01:24:06 [ 1] Lr: 0.001000, Training: 0.33%,  Loss: 15.93804, ACC: 0.00% 
01-08 01:24:22 [ 1] Lr: 0.001000, Training: 0.34%,  Loss: 15.94504, ACC: 0.00% 
01-08 01:24:28 [ 1] Lr: 0.001000, Training: 0.35%,  Loss: 15.94183, ACC: 0.00% 
01-08 01:24:29 [ 1] Lr: 0.001000, Training: 0.36%,  Loss: 15.93127, ACC: 0.00% 
01-08 01:24:29 [ 1] Lr: 0.001000, Training: 0.37%,  Loss: 15.92369, ACC: 0.00% 
01-08 01:24:43 [ 1] Lr: 0.001000, Training: 0.38%,  Loss: 15.92762, ACC: 0.00% 
01-08 01:24:44 [ 1] Lr: 0.001000, Training: 0.38%,  Loss: 15.93603, ACC: 0.00% 
01-08 01:24:44 [ 1] Lr: 0.001000, Training: 0.39%,  Loss: 15.93463, ACC: 0.00% 
01-08 01:24:45 [ 1] Lr: 0.001000, Training: 0.40%,  Loss: 15.93453, ACC: 0.00% 
01-08 01:25:05 [ 1] Lr: 0.001000, Training: 0.41%,  Loss: 15.94223, ACC: 0.00% 
01-08 01:25:05 [ 1] Lr: 0.001000, Training: 0.42%,  Loss: 15.94762, ACC: 0.00% 
01-08 01:25:05 [ 1] Lr: 0.001000, Training: 0.43%,  Loss: 15.95231, ACC: 0.00% 
01-08 01:25:06 [ 1] Lr: 0.001000, Training: 0.44%,  Loss: 15.95227, ACC: 0.00% 
01-08 01:25:21 [ 1] Lr: 0.001000, Training: 0.45%,  Loss: 15.95477, ACC: 0.00% 
01-08 01:25:21 [ 1] Lr: 0.001000, Training: 0.46%,  Loss: 15.95399, ACC: 0.00% 
01-08 01:25:21 [ 1] Lr: 0.001000, Training: 0.47%,  Loss: 15.95354, ACC: 0.00% 
01-08 01:25:23 [ 1] Lr: 0.001000, Training: 0.48%,  Loss: 15.95834, ACC: 0.00% 
01-08 01:25:42 [ 1] Lr: 0.001000, Training: 0.49%,  Loss: 15.96110, ACC: 0.00% 
01-08 01:25:43 [ 1] Lr: 0.001000, Training: 0.49%,  Loss: 15.95888, ACC: 0.00% 
01-08 01:25:44 [ 1] Lr: 0.001000, Training: 0.50%,  Loss: 15.96085, ACC: 0.00% 
01-08 01:25:45 [ 1] Lr: 0.001000, Training: 0.51%,  Loss: 15.96131, ACC: 0.00% 
01-08 01:25:59 [ 1] Lr: 0.001000, Training: 0.52%,  Loss: 15.96409, ACC: 0.00% 
01-08 01:26:04 [ 1] Lr: 0.001000, Training: 0.53%,  Loss: 15.96557, ACC: 0.00% 
01-08 01:26:05 [ 1] Lr: 0.001000, Training: 0.54%,  Loss: 15.96029, ACC: 0.00% 
01-08 01:26:05 [ 1] Lr: 0.001000, Training: 0.55%,  Loss: 15.95903, ACC: 0.00% 
01-08 01:26:23 [ 1] Lr: 0.001000, Training: 0.56%,  Loss: 15.95886, ACC: 0.00% 
01-08 01:26:26 [ 1] Lr: 0.001000, Training: 0.57%,  Loss: 15.95579, ACC: 0.00% 
01-08 01:26:26 [ 1] Lr: 0.001000, Training: 0.58%,  Loss: 15.95605, ACC: 0.00% 
01-08 01:26:26 [ 1] Lr: 0.001000, Training: 0.59%,  Loss: 15.95479, ACC: 0.00% 
01-08 01:26:45 [ 1] Lr: 0.001000, Training: 0.60%,  Loss: 15.95476, ACC: 0.00% 
01-08 01:26:46 [ 1] Lr: 0.001000, Training: 0.60%,  Loss: 15.95617, ACC: 0.00% 
01-08 01:26:47 [ 1] Lr: 0.001000, Training: 0.61%,  Loss: 15.95416, ACC: 0.00% 
01-08 01:26:47 [ 1] Lr: 0.001000, Training: 0.62%,  Loss: 15.95503, ACC: 0.00% 
01-08 01:27:02 [ 1] Lr: 0.001000, Training: 0.63%,  Loss: 15.95711, ACC: 0.00% 
01-08 01:27:04 [ 1] Lr: 0.001000, Training: 0.64%,  Loss: 15.95059, ACC: 0.00% 
01-08 01:27:04 [ 1] Lr: 0.001000, Training: 0.65%,  Loss: 15.95240, ACC: 0.00% 
01-08 01:27:05 [ 1] Lr: 0.001000, Training: 0.66%,  Loss: 15.94896, ACC: 0.00% 
01-08 01:27:24 [ 1] Lr: 0.001000, Training: 0.67%,  Loss: 15.95373, ACC: 0.00% 
01-08 01:27:27 [ 1] Lr: 0.001000, Training: 0.68%,  Loss: 15.95330, ACC: 0.00% 
01-08 01:27:27 [ 1] Lr: 0.001000, Training: 0.69%,  Loss: 15.95768, ACC: 0.00% 
01-08 01:27:27 [ 1] Lr: 0.001000, Training: 0.70%,  Loss: 15.95805, ACC: 0.00% 
01-08 01:27:42 [ 1] Lr: 0.001000, Training: 0.71%,  Loss: 15.95762, ACC: 0.00% 
01-08 01:27:47 [ 1] Lr: 0.001000, Training: 0.71%,  Loss: 15.95546, ACC: 0.00% 
01-08 01:27:47 [ 1] Lr: 0.001000, Training: 0.72%,  Loss: 15.95617, ACC: 0.00% 
01-08 01:27:47 [ 1] Lr: 0.001000, Training: 0.73%,  Loss: 15.95475, ACC: 0.00% 
01-08 01:28:00 [ 1] Lr: 0.001000, Training: 0.74%,  Loss: 15.95602, ACC: 0.00% 
01-08 01:28:05 [ 1] Lr: 0.001000, Training: 0.75%,  Loss: 15.95468, ACC: 0.00% 
01-08 01:28:05 [ 1] Lr: 0.001000, Training: 0.76%,  Loss: 15.95599, ACC: 0.00% 
01-08 01:28:06 [ 1] Lr: 0.001000, Training: 0.77%,  Loss: 15.95526, ACC: 0.00% 
01-08 01:28:22 [ 1] Lr: 0.001000, Training: 0.78%,  Loss: 15.95040, ACC: 0.00% 
01-08 01:28:23 [ 1] Lr: 0.001000, Training: 0.79%,  Loss: 15.94444, ACC: 0.00% 
01-08 01:28:24 [ 1] Lr: 0.001000, Training: 0.80%,  Loss: 15.93927, ACC: 0.00% 
01-08 01:28:24 [ 1] Lr: 0.001000, Training: 0.81%,  Loss: 15.94128, ACC: 0.00% 
